order_id,customer_id,order_channel,region,store_name,product_category,order_amount,quantity,payment_method,order_status,order_ts
EUO-2001,CUST-26445,STORE,EU,Amsterdam Store,Beauty,1243.49,2,Bank Transfer,DELIVERED,2026-02-01 10:17:00
EUO-2002,CUST-60387,STORE,EU,Paris Store,Sports,1564.31,4,Apple Pay,SHIPPED,2026-02-01 10:14:00
EUO-2003,CUST-47091,STORE,EU,Rome Store,Sports,63.01,6,Google Pay,PROCESSING,2026-02-01 10:09:00
EUO-2004,CUST-77202,STORE,EU,Amsterdam Store,Grocery,1288.57,2,PayPal,DELIVERED,2026-02-01 10:56:00
EUO-2005,CUST-51081,STORE,EU,Paris Store,Fashion,765.53,4,Google Pay,PROCESSING,2026-02-01 10:35:00
EUO-2006,CUST-81056,STORE,EU,Amsterdam Store,Books,1570.23,6,PayPal,DELIVERED,2026-02-01 10:36:00
EUO-2007,CUST-16723,STORE,EU,Madrid Store,Home,1567.44,1,Credit Card,SHIPPED,2026-02-01 12:06:00
EUO-2008,CUST-80513,STORE,EU,Berlin Store,Sports,1731.1,2,PayPal,SHIPPED,2026-02-01 11:44:00
EUO-2009,CUST-15674,STORE,EU,Rome Store,Books,1160.53,3,PayPal,PROCESSING,2026-02-01 11:48:00
EUO-2010,CUST-11283,STORE,EU,Madrid Store,Grocery,814.64,4,Apple Pay,SHIPPED,2026-02-01 12:20:00
EUO-2011,CUST-19882,STORE,EU,Madrid Store,Electronics,624.12,3,Credit Card,SHIPPED,2026-02-01 11:17:00
EUO-2012,CUST-66011,STORE,EU,Paris Store,Sports,1123.47,2,Bank Transfer,DELIVERED,2026-02-01 12:48:00
EUO-2013,CUST-46965,STORE,EU,Berlin Store,Fashion,1240.63,6,Apple Pay,DELIVERED,2026-02-01 13:15:00
EUO-2014,CUST-81302,STORE,EU,Madrid Store,Sports,1734.91,5,Bank Transfer,PROCESSING,2026-02-01 10:42:00
EUO-2015,CUST-89675,STORE,EU,Rome Store,Home,1325.23,6,Google Pay,DELIVERED,2026-02-01 14:15:00
EUO-2016,CUST-49176,STORE,EU,Rome Store,Toys,1585.7,1,Google Pay,DELIVERED,2026-02-01 13:28:00
EUO-2017,CUST-52452,STORE,EU,Rome Store,Home,260.41,2,Google Pay,SHIPPED,2026-02-01 14:32:00
EUO-2018,CUST-85453,STORE,EU,Madrid Store,Sports,642.77,4,Bank Transfer,SHIPPED,2026-02-01 11:30:00
EUO-2019,CUST-48621,STORE,EU,Amsterdam Store,Beauty,703.7,4,PayPal,PROCESSING,2026-02-01 12:32:00
EUO-2020,CUST-82776,STORE,EU,Berlin Store,Books,645.46,2,Google Pay,SHIPPED,2026-02-01 13:40:00
EUO-2021,CUST-94672,STORE,EU,Madrid Store,Fashion,1208.69,2,Bank Transfer,PROCESSING,2026-02-01 11:03:00
EUO-2022,CUST-44020,STORE,EU,Rome Store,Fashion,574.27,1,Apple Pay,DELIVERED,2026-02-01 12:34:00
EUO-2023,CUST-52610,STORE,EU,Paris Store,Home,534.85,2,Apple Pay,PROCESSING,2026-02-01 13:50:00
