order_id,customer_id,product_id,category,amount,quantity,payment_method,order_status,order_ts
o_1001,c_001,p_101,Home,27.35,2,Debit Card,SHIPPED,2026-01-22 09:02:00
o_1002,c_002,p_102,Fashion,34.7,3,Cash,PROCESSING,2026-01-22 09:04:00
o_1003,c_003,p_103,Sports,42.05,4,Bank Transfer,DELIVERED,2026-01-22 09:06:00
o_1004,c_004,p_104,Toys,49.4,1,Credit Card,SHIPPED,2026-01-22 09:08:00
o_1005,c_005,p_105,Electronics,56.75,2,Debit Card,PROCESSING,2026-01-22 09:10:00
o_1006,c_006,p_106,Home,64.1,3,Cash,DELIVERED,2026-01-22 09:12:00
o_1007,c_007,p_107,Fashion,71.45,4,Bank Transfer,SHIPPED,2026-01-22 09:14:00
o_1008,c_008,p_108,Sports,78.8,1,Credit Card,PROCESSING,2026-01-22 09:16:00
o_1009,c_009,p_109,Toys,86.15,2,Debit Card,DELIVERED,2026-01-22 09:18:00
o_1010,c_010,p_110,Electronics,93.5,3,Cash,SHIPPED,2026-01-22 09:20:00
o_1011,c_011,p_111,Home,100.85,4,Bank Transfer,PROCESSING,2026-01-22 09:22:00
o_1012,c_012,p_112,Fashion,108.2,1,Credit Card,DELIVERED,2026-01-22 09:24:00
o_1013,c_013,p_113,Sports,115.55,2,Debit Card,SHIPPED,2026-01-22 09:26:00
o_1014,c_014,p_114,Toys,122.9,3,Cash,PROCESSING,2026-01-22 09:28:00
o_1015,c_015,p_115,Electronics,130.25,4,Bank Transfer,DELIVERED,2026-01-22 09:30:00
o_1016,c_016,p_116,Home,137.6,1,Credit Card,SHIPPED,2026-01-22 09:32:00
o_1017,c_017,p_117,Fashion,144.95,2,Debit Card,PROCESSING,2026-01-22 09:34:00
o_1018,c_018,p_118,Sports,152.3,3,Cash,DELIVERED,2026-01-22 09:36:00
o_1019,c_019,p_119,Toys,159.65,4,Bank Transfer,SHIPPED,2026-01-22 09:38:00
o_1020,c_020,p_120,Electronics,167.0,1,Credit Card,PROCESSING,2026-01-22 09:40:00
o_1021,c_021,p_121,Home,174.35,2,Debit Card,DELIVERED,2026-01-22 09:42:00
o_1022,c_022,p_122,Fashion,181.7,3,Cash,SHIPPED,2026-01-22 09:44:00
o_1023,c_023,p_123,Sports,189.05,4,Bank Transfer,PROCESSING,2026-01-22 09:46:00
o_1024,c_024,p_124,Toys,196.4,1,Credit Card,DELIVERED,2026-01-22 09:48:00
o_1025,c_025,p_125,Electronics,203.75,2,Debit Card,SHIPPED,2026-01-22 09:50:00
o_1026,c_026,p_126,Home,211.1,3,Cash,PROCESSING,2026-01-22 09:52:00
o_1027,c_027,p_127,Fashion,218.45,4,Bank Transfer,DELIVERED,2026-01-22 09:54:00
o_1028,c_028,p_128,Sports,225.8,1,Credit Card,SHIPPED,2026-01-22 09:56:00
o_1029,c_029,p_129,Toys,233.15,2,Debit Card,PROCESSING,2026-01-22 09:58:00
o_1030,c_030,p_130,Electronics,240.5,3,Cash,DELIVERED,2026-01-22 10:00:00
o_1031,c_031,p_131,Home,247.85,4,Bank Transfer,SHIPPED,2026-01-22 10:02:00
o_1032,c_032,p_132,Fashion,255.2,1,Credit Card,PROCESSING,2026-01-22 10:04:00
o_1033,c_033,p_133,Sports,262.55,2,Debit Card,DELIVERED,2026-01-22 10:06:00
o_1034,c_034,p_134,Toys,269.9,3,Cash,SHIPPED,2026-01-22 10:08:00
o_1035,c_035,p_135,Electronics,277.25,4,Bank Transfer,PROCESSING,2026-01-22 10:10:00
o_1036,c_036,p_136,Home,284.6,1,Credit Card,DELIVERED,2026-01-22 10:12:00
o_1037,c_037,p_137,Fashion,291.95,2,Debit Card,SHIPPED,2026-01-22 10:14:00
o_1038,c_038,p_138,Sports,299.3,3,Cash,PROCESSING,2026-01-22 10:16:00
o_1039,c_039,p_139,Toys,306.65,4,Bank Transfer,DELIVERED,2026-01-22 10:18:00
o_1040,c_040,p_140,Electronics,314.0,1,Credit Card,SHIPPED,2026-01-22 10:20:00
o_1041,c_041,p_141,Home,321.35,2,Debit Card,PROCESSING,2026-01-22 10:22:00
o_1042,c_042,p_142,Fashion,328.7,3,Cash,DELIVERED,2026-01-22 10:24:00
o_1043,c_043,p_143,Sports,336.05,4,Bank Transfer,SHIPPED,2026-01-22 10:26:00
o_1044,c_044,p_144,Toys,343.4,1,Credit Card,PROCESSING,2026-01-22 10:28:00
o_1045,c_045,p_145,Electronics,350.75,2,Debit Card,DELIVERED,2026-01-22 10:30:00
o_1046,c_046,p_146,Home,358.1,3,Cash,SHIPPED,2026-01-22 10:32:00
o_1047,c_047,p_147,Fashion,365.45,4,Bank Transfer,PROCESSING,2026-01-22 10:34:00
o_1048,c_048,p_148,Sports,372.8,1,Credit Card,DELIVERED,2026-01-22 10:36:00
o_1049,c_049,p_149,Toys,380.15,2,Debit Card,SHIPPED,2026-01-22 10:38:00
o_1050,c_050,p_150,Electronics,387.5,3,Cash,PROCESSING,2026-01-22 10:40:00
