order_id,customer_id,product_id,category,amount,quantity,payment_method,order_status,order_ts,coupon_code,shipping_city,discount_rate
o_1151,c_151,p_451,Home,757.25,2,Bank Transfer,SHIPPED,2026-01-22 16:03:00,CPN5,Ankara,0.06
o_1152,c_152,p_452,Fashion,762.0,3,Credit Card,PROCESSING,2026-01-22 16:06:00,CPN6,Izmir,0.065
o_1153,c_153,p_453,Sports,766.75,1,Debit Card,DELIVERED,2026-01-22 16:09:00,CPN7,Bursa,0.07
o_1154,c_154,p_454,Toys,771.5,2,Cash,SHIPPED,2026-01-22 16:12:00,CPN1,Antalya,0.075
o_1155,c_155,p_455,Electronics,776.25,3,Bank Transfer,PROCESSING,2026-01-22 16:15:00,CPN2,Istanbul,0.08
o_1156,c_156,p_456,Home,781.0,1,Credit Card,DELIVERED,2026-01-22 16:18:00,CPN3,Ankara,0.085
o_1157,c_157,p_457,Fashion,785.75,2,Debit Card,SHIPPED,2026-01-22 16:21:00,CPN4,Izmir,0.09
o_1158,c_158,p_458,Sports,790.5,3,Cash,PROCESSING,2026-01-22 16:24:00,CPN5,Bursa,0.095
o_1159,c_159,p_459,Toys,795.25,1,Bank Transfer,DELIVERED,2026-01-22 16:27:00,CPN6,Antalya,0.1
o_1160,c_160,p_460,Electronics,800.0,2,Credit Card,SHIPPED,2026-01-22 16:30:00,CPN7,Istanbul,0.005
o_1161,c_161,p_461,Home,804.75,3,Debit Card,PROCESSING,2026-01-22 16:33:00,CPN1,Ankara,0.01
o_1162,c_162,p_462,Fashion,809.5,1,Cash,DELIVERED,2026-01-22 16:36:00,CPN2,Izmir,0.015
o_1163,c_163,p_463,Sports,814.25,2,Bank Transfer,SHIPPED,2026-01-22 16:39:00,CPN3,Bursa,0.02
o_1164,c_164,p_464,Toys,819.0,3,Credit Card,PROCESSING,2026-01-22 16:42:00,CPN4,Antalya,0.025
o_1165,c_165,p_465,Electronics,823.75,1,Debit Card,DELIVERED,2026-01-22 16:45:00,CPN5,Istanbul,0.03
o_1166,c_166,p_466,Home,828.5,2,Cash,SHIPPED,2026-01-22 16:48:00,CPN6,Ankara,0.035
o_1167,c_167,p_467,Fashion,833.25,3,Bank Transfer,PROCESSING,2026-01-22 16:51:00,CPN7,Izmir,0.04
o_1168,c_168,p_468,Sports,838.0,1,Credit Card,DELIVERED,2026-01-22 16:54:00,CPN1,Bursa,0.045
o_1169,c_169,p_469,Toys,842.75,2,Debit Card,SHIPPED,2026-01-22 16:57:00,CPN2,Antalya,0.05
o_1170,c_170,p_470,Electronics,847.5,3,Cash,PROCESSING,2026-01-22 17:00:00,CPN3,Istanbul,0.055
o_1171,c_171,p_471,Home,852.25,1,Bank Transfer,DELIVERED,2026-01-22 17:03:00,CPN4,Ankara,0.06
o_1172,c_172,p_472,Fashion,857.0,2,Credit Card,SHIPPED,2026-01-22 17:06:00,CPN5,Izmir,0.065
o_1173,c_173,p_473,Sports,861.75,3,Debit Card,PROCESSING,2026-01-22 17:09:00,CPN6,Bursa,0.07
o_1174,c_174,p_474,Toys,866.5,1,Cash,DELIVERED,2026-01-22 17:12:00,CPN7,Antalya,0.075
o_1175,c_175,p_475,Electronics,871.25,2,Bank Transfer,SHIPPED,2026-01-22 17:15:00,CPN1,Istanbul,0.08
o_1176,c_176,p_476,Home,876.0,3,Credit Card,PROCESSING,2026-01-22 17:18:00,CPN2,Ankara,0.085
o_1177,c_177,p_477,Fashion,880.75,1,Debit Card,DELIVERED,2026-01-22 17:21:00,CPN3,Izmir,0.09
o_1178,c_178,p_478,Sports,885.5,2,Cash,SHIPPED,2026-01-22 17:24:00,CPN4,Bursa,0.095
o_1179,c_179,p_479,Toys,890.25,3,Bank Transfer,PROCESSING,2026-01-22 17:27:00,CPN5,Antalya,0.1
o_1180,c_180,p_480,Electronics,895.0,1,Credit Card,DELIVERED,2026-01-22 17:30:00,CPN6,Istanbul,0.005
o_1181,c_181,p_481,Home,899.75,2,Debit Card,SHIPPED,2026-01-22 17:33:00,CPN7,Ankara,0.01
o_1182,c_182,p_482,Fashion,904.5,3,Cash,PROCESSING,2026-01-22 17:36:00,CPN1,Izmir,0.015
o_1183,c_183,p_483,Sports,909.25,1,Bank Transfer,DELIVERED,2026-01-22 17:39:00,CPN2,Bursa,0.02
o_1184,c_184,p_484,Toys,914.0,2,Credit Card,SHIPPED,2026-01-22 17:42:00,CPN3,Antalya,0.025
o_1185,c_185,p_485,Electronics,918.75,3,Debit Card,PROCESSING,2026-01-22 17:45:00,CPN4,Istanbul,0.03
o_1186,c_186,p_486,Home,923.5,1,Cash,DELIVERED,2026-01-22 17:48:00,CPN5,Ankara,0.035
o_1187,c_187,p_487,Fashion,928.25,2,Bank Transfer,SHIPPED,2026-01-22 17:51:00,CPN6,Izmir,0.04
o_1188,c_188,p_488,Sports,933.0,3,Credit Card,PROCESSING,2026-01-22 17:54:00,CPN7,Bursa,0.045
o_1189,c_189,p_489,Toys,937.75,1,Debit Card,DELIVERED,2026-01-22 17:57:00,CPN1,Antalya,0.05
o_1190,c_190,p_490,Electronics,942.5,2,Cash,SHIPPED,2026-01-22 18:00:00,CPN2,Istanbul,0.055
o_1191,c_191,p_491,Home,947.25,3,Bank Transfer,PROCESSING,2026-01-22 18:03:00,CPN3,Ankara,0.06
