order_id,customer_id,order_channel,region,product_category,order_amount,quantity,payment_method,order_status,order_ts
USO-1001,CUST-95577,ONLINE,US,Fashion,821.32,1,Google Pay,PROCESSING,2026-01-01 09:07:00
USO-1002,CUST-36721,ONLINE,US,Toys,420.39,3,PayPal,SHIPPED,2026-01-01 09:10:00
USO-1003,CUST-49110,ONLINE,US,Fashion,899.81,3,Bank Transfer,PROCESSING,2026-01-01 09:21:00
USO-1004,CUST-15817,ONLINE,US,Sports,741.32,4,Google Pay,PROCESSING,2026-01-01 10:20:00
USO-1005,CUST-75273,ONLINE,US,Electronics,656.13,5,PayPal,SHIPPED,2026-01-01 09:45:00
USO-1006,CUST-31533,ONLINE,US,Toys,702.97,2,Google Pay,SHIPPED,2026-01-01 10:42:00
USO-1007,CUST-67490,ONLINE,US,Books,964.83,2,PayPal,PROCESSING,2026-01-01 10:45:00
USO-1008,CUST-91663,ONLINE,US,Sports,286.22,4,Google Pay,SHIPPED,2026-01-01 11:08:00
USO-1009,CUST-46874,ONLINE,US,Toys,1238.51,4,Credit Card,PROCESSING,2026-01-01 10:03:00
USO-1010,CUST-77729,ONLINE,US,Electronics,405.38,3,Bank Transfer,PROCESSING,2026-01-01 10:00:00
USO-1011,CUST-82709,ONLINE,US,Beauty,977.88,2,Bank Transfer,DELIVERED,2026-01-01 11:34:00
USO-1012,CUST-76339,ONLINE,US,Sports,1407.5,4,Bank Transfer,PROCESSING,2026-01-01 12:48:00
USO-1013,CUST-43700,ONLINE,US,Toys,88.32,3,Google Pay,SHIPPED,2026-01-01 11:36:00
USO-1014,CUST-59506,ONLINE,US,Home,240.07,5,PayPal,DELIVERED,2026-01-01 11:34:00
USO-1015,CUST-49808,ONLINE,US,Sports,1322.41,5,Credit Card,SHIPPED,2026-01-01 12:45:00
USO-1016,CUST-42048,ONLINE,US,Fashion,1056.56,1,Google Pay,PROCESSING,2026-01-01 12:12:00
USO-1017,CUST-52460,ONLINE,US,Books,97.0,5,Apple Pay,PROCESSING,2026-01-01 10:59:00
USO-1018,CUST-40398,ONLINE,US,Electronics,1205.36,5,PayPal,DELIVERED,2026-01-01 10:30:00
